Data,Descrição,Departamento,Fundação,Valor,UFSM,Departamento,Inventor
20/01/25,INGAL,,FUNDEP,"R$ 13.497,59","R$ 4.049,28","R$ 4.049,28","R$ 4.049,28"
20/01/25,Agência de Desenvolvimento do Médio Alto Uruguai (ADMAU) ,,FUNDEP,"R$ 5.237,61","R$ 1.571,28","R$ 1.571,28","R$ 1.571,28"
29/01/25,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.078,41","R$ 8.585,28","R$ 8.585,28",
28/02/25,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.151,60","R$ 8.618,22","R$ 8.618,22",
01/03/25,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.203,11","R$ 8.641,40","R$ 8.641,40",
19/03/25,QP Comércio Comércio e Produção de Mudas e Insumos LTDA,,FUNDEP,"R$ 120,80","R$ 36,24","R$ 36,24","R$ 36,24"
20/02/24,Luiz Alfredo Dittgen Miritz – ME nome fantasia “Som Maior Proaudio” ,,FUNDEP,"R$ 432,00","R$ 129,60","R$ 129,60","R$ 129,60"
08/04/25,Auftek,,FUNDEP,"R$ 832,00","R$ 249,60","R$ 249,60","R$ 249,60"
11/02/25,"Tecnal Industria, Comercio, Importação e Exportação de Equipamentos para Laboratório Ltda",,FUNDEP,"R$ 1.022,07","R$ 306,62","R$ 306,62","R$ 306,62"
08/04/25,INGAL,,FUNDEP,"R$ 7.995,42","R$ 2.398,63","R$ 2.398,63","R$ 2.398,63"
5/5/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 18.656,09","R$ 8.395,24","R$ 8.395,24",
6/5/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 16.650,34","R$ 7.492,65","R$ 7.492,65",
6/30/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 20.148,18","R$ 9.066,68","R$ 9.066,68",
8/12/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 20.148,18","R$ 9.066,68","R$ 9.066,68",
9/5/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.894,50","R$ 8.952,53","R$ 8.952,53",
10/7/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 21.287,92","R$ 9.579,56","R$ 9.579,56",
11/10/2025,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 21.226,42","R$ 9.551,89","R$ 9.551,89",
4/17/2025,Luiz Alfredo Dittgen Miritz – ME nome fantasia “Som Maior Proaudio” ,,FUNDEP,"R$ 432,00","R$ 129,60","R$ 129,60","R$ 129,60"
8/5/2025,Auftek,,FUNDEP,"R$ 1.123,20","R$ 374,40","R$ 374,40","R$ 374,40"
7/21/2025,INGAL,,FUNDEP,"R$ 466,10","R$ 139,83","R$ 139,83","R$ 139,83"
9/5/2025,INGAL,,FUNDEP,"R$ 19.927,69","R$ 5.978,31","R$ 5.978,31","R$ 5.978,31"
9/16/2025,BioDos,,FUNDEP,"R$ 1.981,80","R$ 594,54","R$ 594,54","R$ 594,54"
11/18/2025,INGAL,,FUNDEP,"R$ 3.590,86","R$ 1.077,26","R$ 1.077,26","R$ 1.077,26"
6/16/2026,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 21.226,42","R$ 9.551,89","R$ 9.551,89",
